scope,horizon,n,mean_drift,median_drift,ci_lower,ci_upper,pct_continue,pct_reverse,t_stat,p_value
Pooled,D+1,125,-0.00038283758244103184,-0.00170511534603816,-0.00492345253370735,0.004157777368825287,52.0,46.400000000000006,-0.16525551486702397,0.8690119842864407
Pooled,D+3,125,0.000359956195800535,0.0002153316106804479,-0.0067715169939544,0.00749142938555547,51.2,48.8,0.09892964959646618,0.9213538785929885
Pooled,D+5,125,0.0032536191933316243,0.003825005976571757,-0.0060117372030943275,0.012518975589757576,52.0,48.0,0.6882728894691954,0.4925665573169683
Pooled,D+10,123,0.001448855660856331,-0.005810882197570115,-0.010911560727649967,0.013809272049362628,54.47154471544715,45.52845528455284,0.22974607052227153,0.8186738430111765
Pooled,D+20,119,0.007023040384386824,-0.005857684883179095,-0.010447439152601512,0.024493519921375162,58.82352941176471,41.17647058823529,0.787909634893233,0.4323294696740042
HAL,D+1,23,-0.0026717024819695517,-0.0034716040591063653,-0.011225181670749373,0.005881776706810271,56.52173913043478,43.47826086956522,-0.6122113293418006,0.5466740363331418
HAL,D+3,23,0.00600333225081621,0.01464535273284192,-0.007356753719452847,0.01936341822108527,52.17391304347826,47.82608695652174,0.8807227167388361,0.38798832739464156
HAL,D+5,23,0.014846191819182336,0.018496158068057104,0.0003265047064667445,0.02936587893189793,47.82608695652174,52.17391304347826,2.004074587813562,0.057526680562072885
HAL,D+10,22,0.01803424712438756,0.010558553634129088,-0.007883341176455196,0.04395183542523032,50.0,50.0,1.3638276815536206,0.18706316436960968
HAL,D+20,21,0.02670162134040612,-0.005248470537726697,-0.023536442478654142,0.07693968515946639,66.66666666666666,33.33333333333333,1.041743527690255,0.30996047375429525
HDFCBANK,D+1,22,-0.0015273282943205964,0.0003576781412074386,-0.010813139171693511,0.007758482583052318,59.09090909090909,40.909090909090914,-0.32238040343497604,0.7503520245844081
HDFCBANK,D+3,22,-0.005722611362062296,9.83226996336786e-05,-0.020087334860501918,0.008642112136377327,59.09090909090909,40.909090909090914,-0.7808238196064462,0.4436196577223709
HDFCBANK,D+5,22,-0.002574154869774173,0.0014265604529277635,-0.019486667484341018,0.014338357744792673,63.63636363636363,36.36363636363637,-0.29832016446874926,0.7683905549589107
HDFCBANK,D+10,22,-0.0008009884579148464,-0.0009155360108339573,-0.017779571996391536,0.01617759508056184,59.09090909090909,40.909090909090914,-0.09246574509324192,0.9272044478787528
HDFCBANK,D+20,22,-0.018589909458156403,-0.005333735447695415,-0.04378724009113802,0.006607421174825209,68.18181818181817,31.818181818181817,-1.4460350212769753,0.16292795331776264
NYKAA,D+1,26,0.009877672790320714,0.00658396612014802,-0.0014575083097016946,0.021212853890343122,53.84615384615385,42.30769230769231,1.7079778874455147,0.1000306394914744
NYKAA,D+3,26,0.009620534930850189,0.007157550621017871,-0.006961907841519881,0.02620297770322026,50.0,50.0,1.1371212747910069,0.26626961923909465
NYKAA,D+5,26,0.013045549782211792,0.011817968744866101,-0.008529381929387174,0.03462048149381076,50.0,50.0,1.1851382852530066,0.2471065903788784
NYKAA,D+10,26,0.021096419749017135,0.0009732414485568168,-0.008235284725729625,0.050428124223763894,50.0,50.0,1.4097026902638117,0.1709471833880875
NYKAA,D+20,24,0.043862824441874275,0.028957786853441494,0.009007573753476147,0.0787180751302724,50.0,50.0,2.466518937839395,0.021522404712114983
RELIANCE,D+1,30,-0.0011562883651930977,-0.005472581694147982,-0.008293837683981762,0.005981260953595566,50.0,50.0,-0.3175214761476557,0.753122913706991
RELIANCE,D+3,30,-0.0031033192343535108,-0.005639010150990286,-0.012268093902875898,0.0060614554341688765,50.0,50.0,-0.6636830603401564,0.5121353153377189
RELIANCE,D+5,30,0.0096968162748027,0.0030336663593136044,-0.0038193363087434,0.023212968858348802,50.0,50.0,1.4061516234841838,0.17030428219008484
RELIANCE,D+10,30,0.00428565431470536,-0.0006868549360009588,-0.013556951024733085,0.022128259654143802,60.0,40.0,0.4707766773418344,0.6413221502037284
RELIANCE,D+20,30,0.0062639589097934064,-0.0028260816003208094,-0.014176009802302568,0.026703927621889383,60.0,40.0,0.6006545135232801,0.5527359754596275
RVNL,D+1,24,-0.00728896499322174,-0.006782227772622942,-0.020702446629268612,0.0061245166428251325,41.66666666666667,54.166666666666664,-1.0650755541590313,0.29789575208055863
RVNL,D+3,24,-0.0051757916041597915,-0.012010869565217405,-0.029704896034945368,0.019353312826625786,45.83333333333333,54.166666666666664,-0.41357203124876984,0.6830184333606837
RVNL,D+5,24,-0.02117572450505402,-0.0225494856945285,-0.05263124306453712,0.010279794054429081,50.0,50.0,-1.3194638629600108,0.1999988086544092
RVNL,D+10,23,-0.038173869012725105,-0.04672752591675682,-0.0782089905204307,0.001861252494980488,52.17391304347826,47.82608695652174,-1.8688786357383824,0.07501239675658773
RVNL,D+20,22,-0.02530185401026548,-0.03323976961780574,-0.08411828492426403,0.033514576903733065,50.0,50.0,-0.8431595234439383,0.4086407377690105
